Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A01001_001,SE_A01001_002,SE_A01001_003,SE_A01001_004,SE_A01001_005,SE_A01001_006,SE_A01001_007,SE_A01001_008,SE_A01001_009,SE_A01001_010,SE_A01001_011,SE_A01001_012,SE_A01001_013,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A12002_001,SE_A12002_002,SE_A12002_003,SE_A12002_004,SE_A12002_005,SE_A12002_006,SE_A12002_007,SE_A12002_008,SE_A14001_001,SE_A14001_002,SE_A14001_003,SE_A14001_004,SE_A14001_005,SE_A14001_006,SE_A14001_007,SE_A14001_008,SE_A14001_009,SE_A14001_010,SE_A14001_011,SE_A14001_012,SE_A14001_013,SE_A14001_014,SE_A14001_015,SE_A14001_016,SE_A14001_017
48201100000,14000US48201100000,"Census Tract 1000, Harris County, Texas","Census Tract 1000, Harris County, Texas",tx,140,0,ACSSF,6571,,,,,48,201,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4621,3144.625,1.469491364,4621,63,27,9,16,291,1163,938,967,844,220,46,37,4621,3276,752,60,263,0,149,121,4215,562,3653,2928,1987,1011,438,204,2102,136,158,43,32,9,0,49,82,71,136,166,253,105,110,207,545
48201210100,14000US48201210100,"Census Tract 2101, Harris County, Texas","Census Tract 2101, Harris County, Texas",tx,140,0,ACSSF,6572,,,,,48,201,,,,210100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5620,21969.92,0.255804274,5620,0,0,5,136,1481,1932,1107,621,275,63,0,0,5620,2335,2725,0,39,20,464,37,3998,1497,2501,1054,123,48,9,9,68,0,0,0,0,0,0,0,0,0,10,14,0,0,0,39,5
48201210400,14000US48201210400,"Census Tract 2104, Harris County, Texas","Census Tract 2104, Harris County, Texas",tx,140,0,ACSSF,6573,,,,,48,201,,,,210400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4766,6803.624,0.700509037,4766,584,447,380,59,405,788,559,496,437,381,102,128,4766,3228,1176,27,0,29,223,83,2891,1437,1454,747,207,54,29,29,1622,357,239,177,89,121,53,48,87,59,111,39,129,80,16,10,7
48201210500,14000US48201210500,"Census Tract 2105, Harris County, Texas","Census Tract 2105, Harris County, Texas",tx,140,0,ACSSF,6574,,,,,48,201,,,,210500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5451,6560.524,0.830878753,5451,464,359,357,267,887,730,658,555,628,261,255,30,5451,3969,893,118,0,49,329,93,3117,1493,1624,924,321,98,0,0,1826,288,162,172,102,171,168,154,159,54,113,37,122,71,11,16,26
48201210600,14000US48201210600,"Census Tract 2106, Harris County, Texas","Census Tract 2106, Harris County, Texas",tx,140,0,ACSSF,6575,,,,,48,201,,,,210600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5432,6028.341,0.901077148,5432,247,186,466,462,419,856,733,840,714,361,108,40,5432,4995,72,32,0,0,291,42,3652,946,2706,1794,865,339,136,17,2128,136,104,67,186,124,141,66,99,84,228,91,340,186,83,103,90
48201210700,14000US48201210700,"Census Tract 2107, Harris County, Texas","Census Tract 2107, Harris County, Texas",tx,140,0,ACSSF,6576,,,,,48,201,,,,210700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429,5573.123,0.435841788,2429,239,241,156,83,213,362,268,383,241,114,63,66,2429,1822,223,53,0,0,239,92,1497,656,841,431,72,15,7,0,695,72,25,123,70,67,67,52,29,23,48,46,19,43,5,6,0
48201210800,14000US48201210800,"Census Tract 2108, Harris County, Texas","Census Tract 2108, Harris County, Texas",tx,140,0,ACSSF,6577,,,,,48,201,,,,210800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2808,1986.822,1.41331234,2808,267,239,212,114,253,464,447,356,245,135,65,11,2808,1625,924,0,6,0,199,54,1723,775,948,466,63,6,0,0,892,134,93,170,60,44,48,63,0,35,24,85,83,29,13,11,0
48201210900,14000US48201210900,"Census Tract 2109, Harris County, Texas","Census Tract 2109, Harris County, Texas",tx,140,0,ACSSF,6578,,,,,48,201,,,,210900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439,2956.509,0.486722718,1439,131,99,57,27,136,107,213,206,213,101,110,39,1439,202,1131,0,0,0,92,14,989,318,671,212,59,24,11,0,585,109,83,60,24,85,15,57,31,26,47,5,25,7,0,5,6
48201211000,14000US48201211000,"Census Tract 2110, Harris County, Texas","Census Tract 2110, Harris County, Texas",tx,140,0,ACSSF,6579,,,,,48,201,,,,211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2149,4971.031,0.432304706,2149,128,148,107,119,194,224,337,294,309,162,97,30,2149,714,1112,0,0,0,323,0,1453,540,913,521,110,14,8,0,757,121,72,54,60,62,62,71,68,22,27,89,49,0,0,0,0
48201211100,14000US48201211100,"Census Tract 2111, Harris County, Texas","Census Tract 2111, Harris County, Texas",tx,140,0,ACSSF,6580,,,,,48,201,,,,211100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880,6376.063,0.922199253,5880,417,415,468,359,579,670,435,1155,763,265,260,94,5880,2683,2919,0,0,0,252,26,3642,1420,2222,999,364,21,13,13,1984,417,274,144,221,211,78,9,185,96,79,144,87,39,0,0,0
