Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_A00001_001,SE_A00002_001,SE_A00002_002,SE_A00002_003
48201100000,14000US48201100000,"Census Tract 1000, Harris County, Texas","Census Tract 1000, Harris County, Texas",tx,140,0,ACSSF,6571,,,,,48,201,,,,100000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4621,4621,3144.625,1.469491364
48201210100,14000US48201210100,"Census Tract 2101, Harris County, Texas","Census Tract 2101, Harris County, Texas",tx,140,0,ACSSF,6572,,,,,48,201,,,,210100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5620,5620,21969.92,0.255804274
48201210400,14000US48201210400,"Census Tract 2104, Harris County, Texas","Census Tract 2104, Harris County, Texas",tx,140,0,ACSSF,6573,,,,,48,201,,,,210400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4766,4766,6803.624,0.700509037
48201210500,14000US48201210500,"Census Tract 2105, Harris County, Texas","Census Tract 2105, Harris County, Texas",tx,140,0,ACSSF,6574,,,,,48,201,,,,210500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5451,5451,6560.524,0.830878753
48201210600,14000US48201210600,"Census Tract 2106, Harris County, Texas","Census Tract 2106, Harris County, Texas",tx,140,0,ACSSF,6575,,,,,48,201,,,,210600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5432,5432,6028.341,0.901077148
48201210700,14000US48201210700,"Census Tract 2107, Harris County, Texas","Census Tract 2107, Harris County, Texas",tx,140,0,ACSSF,6576,,,,,48,201,,,,210700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2429,2429,5573.123,0.435841788
48201210800,14000US48201210800,"Census Tract 2108, Harris County, Texas","Census Tract 2108, Harris County, Texas",tx,140,0,ACSSF,6577,,,,,48,201,,,,210800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2808,2808,1986.822,1.41331234
48201210900,14000US48201210900,"Census Tract 2109, Harris County, Texas","Census Tract 2109, Harris County, Texas",tx,140,0,ACSSF,6578,,,,,48,201,,,,210900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1439,1439,2956.509,0.486722718
48201211000,14000US48201211000,"Census Tract 2110, Harris County, Texas","Census Tract 2110, Harris County, Texas",tx,140,0,ACSSF,6579,,,,,48,201,,,,211000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2149,2149,4971.031,0.432304706
48201211100,14000US48201211100,"Census Tract 2111, Harris County, Texas","Census Tract 2111, Harris County, Texas",tx,140,0,ACSSF,6580,,,,,48,201,,,,211100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880,5880,6376.063,0.922199253
